link,link_flow
(627,630),1727.81
(627,631),2643.58
(628,82),4164.95
(628,478),3542.52
(628,483),2401.09
(628,627),3591.11
(628,632),910.912
(629,83),5615.88
(629,488),1930.35
(629,556),4270.27
(629,625),5238.18
(630,84),10973.4
(630,488),2690.78
(630,489),3846.21
(630,558),4489.75
(630,565),1618.49
(630,570),1878.2
(630,627),1748.04
(630,635),2519.66
(631,85),5541.66
(631,501),1859.13
(631,570),2079.66
(631,627),4105.42
(631,632),2957.88
(631,635),2831.74
(632,86),5830.61
(632,477),3270.23
(632,502),1468.26
(632,628),4006.1
(632,631),4159.39
(633,87),4497.95
(633,501),2101.29
(633,504),2403.43
(633,570),2157.82
(633,634),3448.66
(633,636),3238.19
(634,88),2145.62
(634,503),7659.54
(634,633),3059.81
(634,639),465.74
(634,704),3202.92
(635,89),2206.72
(635,500),3445.17
(635,630),5696.79
(635,631),2518.59
(636,90),8261.77
(636,570),4197.6
(636,571),2737.3
(636,575),1581.64
(636,633),2518.38
(636,643),2753.45
(637,91),1230.92
(637,639),1100.09
(637,641),1030.48
(637,706),2701.68
(637,814),570.081
(637,824),803.755
(637,825),334.343
(638,92),4488.75
(638,504),4557.98
(638,505),2112.74
(638,639),652.698
(638,640),776.336
(639,93),357.15
(639,634),1387.04
(639,637),390.563
(639,638),1688.68
(639,641),551.22
(640,94),2498.61
(640,638),2576.18
(640,641),1298.3
(640,645),1725.79
(640,647),490.909
(641,95),468.33
(641,637),1070.46
(641,639),1685.11
(641,640),1444.7
(641,648),692.49
(642,96),7196.6
(642,575),3356.66
(642,577),3487.57
(642,643),4535.41
(643,97),6973.45
(643,505),5142.95
(643,636),5087.11
(643,642),4034.51
(643,645),2596.13
(644,98),4583.23
(644,577),2783.94
(644,645),4493.48
(644,646),2666.35
(644,651),1895.12
(645,99),4107.96
(645,506),2249.92
(645,640),2853.62
(645,643),3972.8
(645,644),3375.63
(645,652),1410.31
(646,100),2787.21
(646,523),3775.63
(646,578),2667.19
(646,644),3049.73
(646,656),3453.07
(647,101),2676.83
(647,640),762.323
(647,648),1116.73
(647,649),960.472
(647,652),3093.84
(648,102),1692.02
(648,641),1893.68
(648,647),1021.6
(648,650),676.908
(648,824),882.103
(649,103),2159.55
(649,452),598.805
(649,647),1478.39
(649,650),1089.65
(649,654),1461.67
(650,104),868.62
(650,648),1400.38
(650,649),1096.12
(650,826),422.029
(650,841),440.648
(651,105),3338.87
(651,451),2422.69
(651,524),1871.36
(651,644),4113.39
(651,652),1944.04
(652,106),2602.56
(652,645),3453.01
(652,647),1937.58
(652,651),2762.21
(652,654),866.824
(653,107),3288.06
(653,450),1060.52
(653,451),4853.29
(653,658),2219
(653,661),2071.17
(654,108),2867.13
(654,450),2538.3
(654,649),977.369
(654,652),1543.03
(654,662),680.76
(655,109),4214.93
(655,578),2433.95
(655,656),2703.51
(655,657),2030.72
(655,659),2953.05
(656,110),5151.92
(656,524),2263.87
(656,646),4128.1
(656,655),2479.21
(656,658),1679.85
(657,111),3575.4
(657,509),3401.81
(657,655),1752.62
(657,658),711.343
(657,660),2418.23
(658,112),5118.23
(658,508),3758.93
(658,653),1844.47
(658,656),1785.87
(658,657),3.05878
(659,113),1529.23
(659,581),3220.93
(659,655),2863.32
(659,660),1117.19
(659,901),4285.12
(660,114),4279.3
(660,511),1601.77
(660,657),2411.75
(660,659),1122.67
(660,901),2067.9
(661,115),2162.47
(661,448),664.085
(661,653),3227.13
(661,663),1554.22
(661,666),838.24
(662,116),533.27
(662,448),1398.14
(662,654),1312.11
(662,664),148.588
(662,840),642.659
(663,117),3764.94
(663,447),1872.36
(663,661),2460.02
(663,668),3377.89
(663,848),624.557
(664,118),1072.54
(664,447),1645.93
(664,662),423.236
(664,842),724.222
(664,848),112.39
(665,119),1520.72
(665,509),753.752
(665,520),1554.83
(665,666),1246.11
(665,667),353.407
(666,120),3103.35
(666,508),1967.65
(666,661),911.348
(666,665),1496.68
(666,668),1413.23
(667,121),1856.23
(667,518),3355.27
(667,665),519.681
(667,668),2463.08
(667,849),597.324
(668,122),4567.93
(668,663),3341.74
(668,666),1883.45
(668,667),2369.85
(668,850),432.825
(669,123),1015.14
(669,511),242.341
(669,518),1071.86
(669,520),886.473
(669,853),21.0131
(669,901),645.346
(669,904),615.72
(670,124),1002.16
(670,601),1600.39
(670,671),1105.71
(670,672),3135.84
(670,675),2731.03
(671,125),205.69
(671,602),1235.61
(671,670),1925.2
(671,673),1389.11
(671,721),773.998
(672,126),1194.48
(672,670),2131.41
(672,673),1359.1
(672,677),4057.69
(672,682),2366.93
(673,127),1630.49
(673,671),965.368
(673,672),1608.94
(673,683),781.14
(673,723),983.049
(674,128),3856.69
(674,403),6222.06
(674,605),1678.39
(674,675),1877.73
(674,676),2465.55
(675,129),1881.33
(675,606),409.463
(675,670),559.987
(675,674),4485.89
(675,677),1960.15
(676,130),3640.97
(676,405),4384.96
(676,674),2923.69
(676,677),1566.92
(676,686),1670.93
(677,131),4008.23
(677,672),2353.17
(677,675),1099.62
(677,676),3072.32
(677,687),3413.46
(678,132),8660.26
(678,609),4864.46
(678,679),985.95
(678,680),3857.31
(679,133),5132.29
(679,403),2359.95
(679,487),2571.55
(679,610),4141.4
(679,678),3611.51
(680,134),7191.49
(680,486),2807.28
(680,622),4993.73
(680,678),4505.05
(680,690),5254.29
(681,135),8331.82
(681,405),2140.67
(681,486),3777.17
(681,487),2273.51
(681,691),2220.24
(682,136),1883.79
(682,672),1873.85
(682,683),912.617
(682,684),3426.94
(682,687),3073.31
(683,137),1328.56
(683,673),912.396
(683,682),1736.98
(683,727),1311.26
(684,138),1252.13
(684,410),2811.62
(684,682),3405.33
(684,685),1190.5
(684,689),2290.79
(685,139),1420.05
(685,684),1237.49
(685,729),695.122
(686,140),4271.85
(686,406),8476.21
(686,676),1153.86
(686,687),3054.19
(686,688),887.165
(687,141),6332.38
(687,677),2393.55
(687,682),1312.86
(687,686),5211.03
(687,689),1054.75
(688,142),3553.45
(688,407),2772.68
(688,686),1706.69
(688,689),1482.25
(688,698),1451.23
(689,143),1795.19
(689,409),2172.65
(689,684),805.511
(689,687),1657.48
(689,688),3118.67
(690,144),6322.93
(690,480),7075.33
(690,485),4832.82
(690,680),7475.24
(690,691),3867.53
(691,145),5256.9
(691,406),2977.13
(691,681),3400.99
(691,690),7431.02
(691,693),2701.63
(692,146),14124.5
(692,478),2455.33
(692,482),6346.94
(692,693),2232.31
(692,702),1155.38
(693,147),12195.8
(693,407),1824.37
(693,538),2068.68
(693,691),1782.58
(693,692),4371.94
(694,148),5243.01
(694,410),4800.22
(694,695),1096.66
(694,696),1142.26
(694,699),1509.33
(695,149),1294.27
(695,694),2446.14
(695,697),1525.2
(695,733),704.794
(696,150),1757.37
(696,694),2599.01
(696,697),1860.4
(696,701),2359.77
(696,808),1146.34
(697,151),2694.53
(697,695),1967.6
(697,696),2307.07
(697,735),1652.55
(697,809),131.743
(698,152),5519.35
(698,537),8301.5
(698,688),1518.14
(698,699),3288.4
(698,700),1745.79
(699,153),7374.85
(699,409),3298.32
(699,694),934.755
(699,698),3117.08
(699,701),564.832
(700,154),2368.18
(700,473),2034.52
(700,698),5322.34
(700,701),1979.57
(700,812),493.871
(701,155),2397.03
(701,696),2317.08
(701,699),2167.29
(701,700),3103.01
(701,813),603.758
(702,156),6184.31
(702,477),4896.11
(702,692),2481.22
(702,703),2805.5
(702,704),1431.6
(703,157),5014.39
(703,537),2626.76
(703,538),4833.41
(703,702),4362.77
(703,705),742.087
(704,158),5064.4
(704,475),677.02
(704,634),4005.16
(704,702),2786.82
(704,705),2463.98
(705,159),3016.66
(705,473),3663.63
(705,474),741.865
(705,703),2649.18
(705,704),3688.51
(706,160),2185.88
(706,472),558.404
(706,474),1252.01
(706,475),1998.69
(706,637),834.583
(707,161),470.53
(707,387),147.56
(707,708),415.293
(707,713),98.3364
(707,912),177.6
(708,162),263.06
(708,390),1542.55
(708,707),240.738
(708,710),248.217
(708,712),359.762
(708,802),334.981
(709,163),1458.17
(709,583),1460.58
(709,711),2347.74
(709,805),1529.02
(710,164),244.89
(710,708),317.078
(710,712),1411.12
(710,806),1018.22
(711,165),3517.32
(711,392),2612.86
(711,583),1007.75
(711,709),811.829
(711,712),443.923
(712,166),1205.57
(712,391),1297.38
(712,708),49.4002
(712,710),720.547
(712,711),852.474
(712,715),407.356
(713,167),166.32
(713,707),52.8894
(713,714),336.782
(713,719),58.5673
(713,912),149.322
(714,168),224.32
(714,390),272.513
(714,713),144.891
(714,716),641.564
(714,718),144.605
(714,720),763.973
(715,169),5208.63
(715,392),3751.1
(715,600),972.433
(715,712),0
(715,716),477.057
(715,717),2173.51
(716,170),762.83
(716,391),705.668
(716,714),223.916
(716,715),1086.87
(716,718),797.984
(717,171),2923.35
(717,602),1073.54
(717,715),1964.46
(717,718),508.1
(717,721),1986.78
(718,172),422.23
(718,714),45.8398
(718,716),697.468
(718,717),784.815
(718,722),894.976
(719,173),204.97
(719,713),31.92
(719,720),607.019
(719,725),136.197
(719,912),259.54
(720,174),522.82
(720,714),513.553
(720,719),248.39
(720,722),378.893
(720,724),1042.78
(720,726),634.933
(721,175),484.1
(721,671),1227.18
(721,717),1553.98
(721,722),204.372
(721,723),1227.87
(722,176),218.14
(722,718),789.531
(722,720),164.81
(722,721),205.604
(722,724),1042.49
(723,177),3374.67
(723,673),1444.22
(723,721),922.507
(723,724),696.811
(723,727),2292.77
(724,178),1894.04
(724,720),222.99
(724,722),521.606
(724,723),1820.81
(724,728),771.12
(725,179),202.88
(725,415),261.604
(725,719),110.965
(725,726),401.983
(725,912),203.082
(726,180),557.19
(726,414),353.813
(726,720),343.882
(726,725),140.258
(726,728),512.522
(726,730),568.899
(727,181),2480.96
(727,683),2128.85
(727,723),2133.21
(727,728),483.741
(727,729),2164.73
(728,182),947.08
(728,724),692.622
(728,726),179.092
(728,727),1105.12
(728,730),979.632
(729,183),1285.91
(729,412),2389.05
(729,685),1064.93
(729,727),2405.34
(729,730),124.421
(730,184),826.72
(730,413),1630.99
(730,726),226.84
(730,728),935.343
(730,729),278.216
(731,185),352.86
(731,415),135.598
(731,416),206.49
(731,732),228.557
(731,863),200.797
(732,186),672.46
(732,414),585.543
(732,731),111.191
(732,734),788.83
(732,736),1251.07
(732,864),389.008
(733,187),3358.48
(733,412),3143.11
(733,695),1438.64
(733,734),1049.17
(733,735),1611.67
(734,188),3444.78
(734,413),3150.61
(734,732),352.632
(734,733),1312.44
(734,736),2001.41
(735,189),3635.99
(735,697),2663.76
(735,733),2550.43
(735,736),1315.52
(735,865),979.276
(736,190),4862.57
(736,732),516.064
(736,734),1978.11
(736,735),1287.75
(736,865),1624.75
(737,191),555.76
(737,739),760.853
(737,741),400.67
(737,745),674.135
(737,783),806.979
(737,919),93.91
(738,192),73.06
(738,418),775.743
(738,739),709.927
(738,740),429.589
(738,920),321.662
(739,193),1210.77
(739,737),446.088
(739,738),1314.95
(739,741),429.67
(739,919),178.89
(740,194),414.07
(740,738),139.41
(740,741),470.653
(740,742),404.14
(740,746),1142.3
(741,195),603.43
(741,737),182.44
(741,739),243.367
(741,740),459.776
(741,747),1289.58
(742,196),517.34
(742,418),323.861
(742,740),521.198
(742,743),348.226
(742,744),225.187
(742,750),1009.5
(742,751),697.773
(742,920),91.0333
(742,921),576.838
(743,197),1574.52
(743,742),646.894
(743,744),2523.72
(743,921),1586.42
(744,198),1844.75
(744,742),320.549
(744,743),1368.19
(744,754),3773.9
(745,199),1625.29
(745,737),131.937
(745,747),897.094
(745,749),1079.52
(745,756),2221.54
(745,791),990.407
(746,200),718.57
(746,740),261.114
(746,747),720.764
(746,748),1370.94
(746,751),1476.84
(747,201),926.18
(747,741),750.994
(747,745),1305.66
(747,746),1369.83
(747,749),380.93
(748,202),1205.6
(748,746),335.581
(748,749),583.006
(748,753),1696.62
(748,757),2762.15
(749,203),1150.86
(749,745),545.178
(749,747),162.63
(749,748),1396
(749,758),1086.65
(750,204),2325.47
(750,419),691.806
(750,742),188.779
(750,752),2546.35
(750,754),1084.61
(751,205),362.05
(751,419),2365.86
(751,742),232.533
(751,746),581.238
(751,753),1661.26
(752,206),2413.04
(752,420),2005.12
(752,750),772.891
(752,755),2446.12
(752,761),3611.54
(753,207),734.23
(753,420),1809.48
(753,748),1720.32
(753,751),812.162
(753,762),1177.8
(754,208),3175.81
(754,744),1565.9
(754,750),1796.72
(754,755),4712.41
(755,209),6372.97
(755,752),2790.69
(755,754),1930.72
(755,765),4664.32
(756,210),1711.12
(756,745),624.997
(756,758),729.84
(756,760),2723.91
(756,767),1508.02
(756,799),1385.36
(757,211),447.06
(757,748),550.912
(757,758),558.967
(757,759),1849.32
(757,762),1637.57
(758,212),77.19
(758,749),323.701
(758,756),843.013
(758,757),599.045
(758,760),808.249
(759,213),814.89
(759,757),720.982
(759,760),731.388
(759,764),3073.94
(759,768),1375.04
(760,214),97.78
(760,756),695.233
(760,758),149.221
(760,759),2021.19
(760,769),2018.38
(761,215),2824.14
(761,421),1416.99
(761,752),1594.07
(761,762),1941.46
(761,763),740.123
(762,216),1430.46
(762,753),378.588
(762,757),459.529
(762,761),1854.63
(762,764),3271.33
(763,217),1993
(763,422),1865.1
(763,761),431.32
(763,764),349.755
(763,772),1943.65
(764,218),3930.44
(764,759),564.631
(764,762),890.804
(764,763),1879.68
(764,773),4996.94
(765,219),2946.76
(765,421),1300.79
(765,755),2479.05
(765,766),5153.33
(766,220),2356.14
(766,422),702.745
(766,765),1744.46
(766,776),5620.75
(767,221),2652.57
(767,583),1612.79
(767,756),510.408
(767,769),741.522
(767,771),2064.95
(767,807),1422.2
(768,222),739.05
(768,759),849.561
(768,769),602.56
(768,770),1477.14
(768,773),496.091
(769,223),1264.06
(769,760),511.87
(769,767),315.986
(769,768),971.743
(769,771),2663.64
(770,224),1102.18
(770,584),3417.09
(770,768),443.8
(770,771),1063.95
(770,775),2370.4
(771,225),1656.14
(771,585),3112.33
(771,767),907.887
(771,769),937.776
(771,770),3030.1
(772,226),1283.17
(772,423),1505.22
(772,763),620.347
(772,773),1440.26
(772,774),2771.38
(773,227),1967.16
(773,764),1521.8
(773,768),516.492
(773,772),2473.23
(773,775),3634.6
(774,228),2806.66
(774,424),2420.86
(774,588),2154.75
(774,772),1079.93
(774,775),2115.81
(775,229),2347.23
(775,589),5421.35
(775,770),935.98
(775,773),957.309
(775,774),2796.46
(776,230),2627.28
(776,423),712.143
(776,766),1907.45
(776,777),3966.02
(776,778),3622.01
(777,231),3500.52
(777,428),5186.27
(777,596),0
(777,776),1590.5
(777,778),618.484
(778,232),4571.12
(778,424),1413.31
(778,426),4917.7
(778,776),1319.35
(778,777),518.671
(779,233),598.58
(779,780),463.706
(779,784),281.981
(779,913),554.182
(779,915),123.14
(780,234),113.28
(780,779),439.775
(780,781),253.31
(780,785),425.938
(780,916),78.58
(781,235),367.92
(781,780),160.1
(781,782),478.033
(781,786),468.238
(781,916),132.78
(781,917),17.38
(782,236),995.83
(782,781),260.11
(782,783),497.347
(782,787),787.313
(782,788),663.627
(782,917),49.5
(782,918),201.779
(783,237),153.29
(783,737),1024.89
(783,782),504.479
(783,791),284.582
(783,918),156.251
(784,238),539.26
(784,779),94.2731
(784,785),200.294
(784,792),357.03
(784,913),304.427
(785,239),188.09
(785,780),199.535
(785,784),351.37
(785,786),272.572
(785,793),511.069
(786,240),652.93
(786,781),135.5
(786,785),298.831
(786,788),223.947
(786,790),338.751
(786,794),1058.72
(787,241),268.8
(787,782),368.142
(787,788),113.862
(787,789),592.475
(787,791),642.141
(788,242),330.82
(788,782),423.885
(788,786),289.219
(788,787),275.452
(788,790),642.875
(789,243),1887.17
(789,787),306.109
(789,790),324.52
(789,791),665.228
(789,795),1878.88
(790,244),689.87
(790,786),246.281
(790,788),343.385
(790,789),302.952
(790,796),1164.56
(791,245),496.44
(791,745),1214.12
(791,783),126.577
(791,787),250.986
(791,789),1298.66
(791,799),409.924
(792,246),1030.86
(792,784),154.49
(792,793),584.233
(792,800),374.681
(792,913),627.273
(793,247),174.64
(793,785),258.254
(793,792),543.68
(793,794),826.792
(793,801),273.404
(794,248),2781.89
(794,786),222.02
(794,793),555.253
(794,796),437.56
(794,798),1580.99
(794,802),1066.99
(795,249),885.77
(795,789),953.231
(795,796),850.447
(795,797),717.692
(795,799),716.548
(796,250),150.86
(796,790),532.939
(796,794),724.817
(796,795),825.57
(796,798),1077.26
(797,251),510.78
(797,795),304.349
(797,798),918.81
(797,799),982.598
(797,803),1130.34
(798,252),1296.67
(798,794),1046.56
(798,796),574.664
(798,797),893.309
(798,804),3179.93
(799,253),536.26
(799,756),2310.76
(799,791),15.8995
(799,795),500.427
(799,797),1048.45
(799,807),13.7564
(800,254),169.62
(800,388),137.74
(800,792),239.483
(800,801),449.009
(800,912),128.432
(801,255),354.32
(801,387),761.199
(801,793),48.224
(801,800),230.579
(801,802),351.261
(802,256),1176.61
(802,708),1162.48
(802,794),558.833
(802,801),259.987
(802,804),553.063
(802,806),277.256
(803,257),1587.28
(803,797),526.001
(803,804),1497.89
(803,805),1447.04
(803,807),2373.4
(804,258),2817.7
(804,798),2001.93
(804,802),417.981
(804,803),2723.04
(804,806),1305.27
(805,259),932.79
(805,709),2702.96
(805,803),1010.88
(805,806),288.005
(805,807),1033.84
(806,260),813.63
(806,710),1560.76
(806,802),307.72
(806,804),983.264
(806,805),503.024
(807,261),757.19
(807,583),595.13
(807,767),3166.83
(807,799),0
(807,803),845.689
(807,805),936.589
(808,262),360.57
(808,696),2238.15
(808,809),398.039
(808,810),418.28
(808,813),1345.87
(809,263),252.88
(809,697),242.735
(809,808),675.814
(809,811),92.022
(809,865),350.603
(810,264),133.04
(810,808),804.9
(810,811),386.773
(810,815),387.748
(810,816),411.109
(811,265),117.58
(811,809),165.274
(811,810),477.628
(811,817),188.541
(811,865),405.93
(812,266),1845.39
(812,471),1435.54
(812,472),1681.89
(812,700),1829.19
(812,813),1226.1
(813,267),906.64
(813,701),1336.29
(813,808),1181.51
(813,812),2175.8
(813,815),458.006
(814,268),1216.65
(814,470),288.519
(814,471),3135.97
(814,637),1092.47
(814,820),945.941
(815,269),714.89
(815,470),2081.86
(815,810),303.826
(815,813),909.14
(815,821),758.203
(816,270),351.21
(816,469),712.569
(816,810),796.156
(816,817),365.428
(816,818),395.779
(817,271),581.38
(817,811),266.849
(817,816),423.787
(817,819),22.5028
(817,868),44.3262
(818,272),1218.88
(818,468),1551.11
(818,816),986.681
(818,819),427.422
(818,828),1113.13
(819,273),64.88
(819,817),77.43
(819,818),476.676
(819,829),54.63
(819,868),444.672
(820,274),1063.45
(820,814),2378.38
(820,821),419.004
(820,822),1121.75
(820,825),341.231
(821,275),317.03
(821,469),253.565
(821,815),1698.37
(821,820),431.519
(821,823),620.448
(822,276),1110.35
(822,820),2218.58
(822,823),995.692
(822,827),1061.95
(822,832),1211.86
(823,277),998.48
(823,468),477.224
(823,821),1359
(823,822),1050.15
(823,833),1264.2
(824,278),584.34
(824,637),1469.87
(824,648),1213.58
(824,825),486.295
(824,826),234.438
(825,279),258.9
(825,637),1166.9
(825,820),392.473
(825,824),455.431
(825,827),552.748
(826,280),165.08
(826,650),576.236
(826,824),489.555
(826,827),569.11
(826,836),348.448
(827,281),73.88
(827,822),1178.52
(827,825),987.189
(827,826),301.795
(827,837),382.824
(828,282),1505.13
(828,456),530.097
(828,467),283.605
(828,818),1665.14
(828,833),1151.74
(829,283),339.98
(829,467),443.113
(829,819),95.4802
(829,831),51.5379
(829,871),30.4797
(830,284),827.09
(830,456),1157.61
(830,835),658.992
(830,844),323.136
(831,285),202.57
(831,458),316.948
(831,829),76.0274
(831,871),54.2903
(832,286),3088.23
(832,454),938.711
(832,822),1805.65
(832,833),1204.64
(832,837),457.568
(833,287),5003.67
(833,455),1994.8
(833,823),1850.4
(833,828),1073.57
(833,832),1086.89
(834,288),1098.44
(834,454),774.497
(834,835),438.475
(834,839),270.933
(834,845),73.4787
(835,289),1482.02
(835,455),679.541
(835,830),482.189
(835,834),339.622
(835,845),99.915
(836,290),448.42
(836,826),831.366
(836,837),670.176
(836,838),55.5624
(836,841),829.25
(837,291),485.37
(837,453),422.551
(837,827),539.651
(837,832),647.526
(837,836),682.802
(838,292),370.47
(838,836),99.9368
(838,839),639.846
(838,843),669.168
(838,846),58.5203
(839,293),505.41
(839,453),1059.62
(839,834),477.027
(839,838),456.415
(839,846),125.779
(840,294),670.63
(840,452),769.901
(840,662),745.372
(840,841),1030.44
(840,842),287.415
(841,295),780.31
(841,650),901.368
(841,836),887.558
(841,840),1148.83
(841,843),472.39
(842,296),640.72
(842,664),1128.23
(842,840),302.011
(842,843),428.339
(842,847),44.9489
(843,297),473.65
(843,838),588.798
(843,841),639.856
(843,842),530.83
(843,847),195.949
(844,298),813.24
(844,458),18.0374
(844,466),313.293
(844,830),443.641
(844,845),60.9987
(844,874),237.816
(845,299),223.02
(845,834),187.335
(845,835),248.125
(845,844),80.1205
(845,846),73.6096
(845,855),70.7552
(846,300),268.43
(846,838),113.365
(846,839),304.694
(846,845),72.522
(846,847),159.074
(846,856),54.8619
(847,301),104.4
(847,446),355.398
(847,842),87.5101
(847,843),355.535
(847,846),96.7144
(847,857),116.102
(848,302),1473.51
(848,446),812.766
(848,663),833.985
(848,664),284.388
(848,850),94.7373
(848,852),212.74
(848,858),57.8071
(849,303),333.09
(849,667),1548.72
(849,850),267.068
(849,851),123.173
(849,853),417.145
(850,304),737.8
(850,668),1059.66
(850,848),131.31
(850,849),432.939
(850,852),124.789
(851,305),89.16
(851,849),291.438
(851,852),205.797
(851,853),235.195
(851,859),102.701
(852,306),147.41
(852,848),459.335
(852,850),313.475
(852,851),223.862
(852,859),162.283
(853,307),125.16
(853,669),33.8345
(853,849),712.062
(853,851),161.449
(853,860),2.63998
(853,904),493.016
(853,906),272.325
(854,308),797.91
(854,465),182.764
(854,466),569.982
(854,855),168.416
(854,877),190.08
(855,309),32.36
(855,845),167.41
(855,854),160.481
(855,856),119.177
(855,862),84.2452
(856,310),41.71
(856,846),100.803
(856,855),66.9875
(856,857),143.739
(856,884),77.4417
(857,311),341.75
(857,445),458.745
(857,847),207.217
(857,856),61.1579
(857,885),103.523
(858,312),121.49
(858,445),82.02
(858,848),224.141
(858,859),68.0201
(858,886),16
(859,313),330.08
(859,851),203.347
(859,852),423.269
(859,858),60.7228
(859,860),155.041
(859,887),46.18
(860,314),33.66
(860,853),11.9747
(860,859),158.79
(860,887),25.8797
(860,906),217.744
(860,909),56.8313
(861,315),485.94
(861,464),238.5
(861,465),619.056
(861,862),210.541
(861,888),93.7712
(862,316),62.88
(862,855),155.555
(862,861),166.581
(862,884),193.459
(862,889),158.663
(863,317),685.67
(863,731),230.505
(863,864),804.092
(863,866),134.535
(863,912),0
(864,318),618.31
(864,732),972.391
(864,863),428.004
(864,865),682.242
(864,867),131.331
(865,319),2478.31
(865,735),1657.28
(865,736),1887.09
(865,809),575.877
(865,811),472.99
(865,864),466.157
(865,867),320.201
(865,868),525.145
(866,320),219.78
(866,863),219.712
(866,867),357.367
(866,869),72.9155
(867,321),417.81
(867,864),179.801
(867,865),611.857
(867,866),203.23
(867,868),163.689
(867,870),156.938
(868,322),54.07
(868,817),128.116
(868,819),374.784
(868,865),835.562
(868,867),106.788
(868,871),245.343
(869,323),82.38
(869,866),140.199
(869,870),135.776
(870,324),46.93
(870,867),253.678
(870,869),83.0296
(870,871),86.7975
(870,873),251.676
(871,325),50.32
(871,459),238.071
(871,829),101.661
(871,831),68.5997
(871,868),416.44
(871,870),40.8
(872,326),28.83
(872,461),33.58
(872,873),28.1
(873,327),819.67
(873,460),462.428
(873,870),284.318
(873,872),15.46
(873,874),129.588
(874,328),499.18
(874,459),865.263
(874,844),177.417
(874,873),248.138
(874,877),237.431
(875,329),649.54
(875,461),139.44
(875,876),129.92
(875,878),20.2478
(876,330),1031.31
(876,460),896.969
(876,875),437.61
(876,877),275.34
(876,879),72.22
(877,331),586.03
(877,854),161.5
(877,874),518.875
(877,876),404.197
(877,880),205.421
(878,332),31.76
(878,875),80.64
(878,879),26.11
(878,881),11.0278
(879,333),73.46
(879,876),280.552
(879,878),18.26
(879,880),44.0813
(879,882),34.32
(880,334),448.82
(880,464),520.076
(880,877),279.912
(880,879),85.3637
(880,883),102.53
(881,335),26.39
(881,878),29.82
(881,882),27.43
(882,336),37.6
(882,463),70.16
(882,879),90.86
(882,881),15.3622
(883,337),143.54
(883,463),61.8499
(883,880),259.06
(883,888),22.0494
(884,338),51.13
(884,444),95.3927
(884,856),89.7356
(884,862),142.224
(884,891),226.469
(885,339),282.26
(885,444),641.37
(885,857),151.184
(885,886),90.6235
(885,891),627.21
(886,340),30.77
(886,858),102.101
(886,885),259.58
(886,887),68.2925
(886,892),52.1665
(887,341),137.61
(887,859),227.976
(887,860),81.5726
(887,886),107.525
(887,893),36.5144
(887,909),72.29
(888,342),75.4
(888,861),175.826
(888,883),22.2399
(888,894),62.4906
(889,343),51.09
(889,862),118.278
(889,890),243.038
(889,895),10.16
(890,344),233.34
(890,889),105.592
(890,895),39.6599
(890,896),886.031
(890,898),58.8868
(891,345),2215.79
(891,884),154.725
(891,885),564.336
(891,896),1663.08
(892,346),149.59
(892,886),208.502
(892,893),225.572
(892,897),279.207
(892,900),32.6097
(893,347),137.13
(893,887),158.656
(893,892),213.189
(893,909),255.826
(894,348),66.26
(894,888),85.416
(894,895),101.335
(895,349),79.35
(895,889),14.8005
(895,890),229.779
(895,894),43.32
(895,898),29.6635
(896,350),3432.89
(896,442),527.222
(896,890),225.327
(896,891),1394.21
(896,898),55.0104
(897,351),382.59
(897,441),132.712
(897,442),822.725
(897,892),203.275
(897,899),96.7903
(898,352),130.69
(898,441),109.061
(898,890),66.2748
(898,895),25.6488
(898,896),239.029
(899,353),92.06
(899,897),319.23
(899,900),53.5103
(900,354),86.12
(900,892),90.63
(900,899),123.54
(901,355),17118.2
(901,512),2073.33
(901,540),2012.64
(901,541),3396.64
(901,659),4357.71
(901,660),1814.78
(901,669),568.748
(902,356),9556.23
(902,513),1937.62
(902,515),1963.05
(902,541),6726.7
(902,542),896.827
(902,543),1290.11
(903,357),3134.09
(903,543),2899.38
(903,905),1212.97
(904,358),3846.22
(904,512),2732.84
(904,513),1049.98
(904,669),717.36
(904,853),251.714
(904,905),1193.74
(904,906),457.636
(905,359),5174.67
(905,515),2232.92
(905,903),1144.05
(905,904),907.299
(905,907),802.727
(905,908),55
(905,930),104
(906,360),434.76
(906,853),529.163
(906,860),76.0697
(906,904),1008.99
(906,907),739.245
(906,909),94.7088
(907,361),2077.72
(907,516),685.015
(907,905),1567.69
(907,906),665.024
(907,910),221.907
(907,911),0
(908,362),197.42
(908,516),342.12
(908,905),210.3
(908,911),5.1
(909,363),217
(909,860),103.597
(909,887),80.78
(909,893),129.185
(909,906),318.741
(909,910),460.307
(910,364),582.86
(910,517),261.49
(910,907),577.689
(910,909),317.783
(911,365),74.07
(911,517),181.01
(911,907),0
(911,908),6.49
(912,366),1397.63
(912,416),1258.17
(912,707),154.869
(912,713),224.693
(912,719),490.384
(912,725),370.855
(912,800),90.134
(912,863),0
(913,367),1800.02
(913,388),324.844
(913,779),158.062
(913,784),171.113
(913,792),577.094
(913,914),14.63
(914,368),127.48
(914,913),112.48
(914,915),197.19
(915,369),223.56
(915,779),382.828
(915,914),112.85
(915,916),341.471
(916,370),232.21
(916,780),245.442
(916,781),499.519
(916,915),133.71
(916,917),122.971
(917,371),228.82
(917,781),103.251
(917,782),278.407
(917,916),94.5301
(917,918),240.372
(918,372),580.45
(918,782),584.089
(918,783),390.369
(918,917),118.35
(918,919),654.903
(918,923),148
(919,373),554.02
(919,737),260.882
(919,739),575.986
