link,link_flow
(627,630),1727.21
(627,631),2652.37
(628,82),4164.95
(628,478),3545.89
(628,483),2405.65
(628,627),3588.73
(628,632),911.789
(629,83),5615.88
(629,488),1930.37
(629,556),4281.59
(629,625),5241.17
(630,84),10973.4
(630,488),2691.39
(630,489),3840.98
(630,558),4491.87
(630,565),1616.92
(630,570),1864.24
(630,627),1754.53
(630,635),2532.34
(631,85),5541.66
(631,501),1863.14
(631,570),2078.04
(631,627),4100.81
(631,632),2961.06
(631,635),2833.89
(632,86),5830.61
(632,477),3273.64
(632,502),1469.01
(632,628),4007.67
(632,631),4164.91
(633,87),4497.95
(633,501),2098.16
(633,504),2403.23
(633,570),2156.03
(633,634),3449.77
(633,636),3246.13
(634,88),2145.62
(634,503),7658.13
(634,633),3058.44
(634,639),465.612
(634,704),3204.26
(635,89),2206.72
(635,500),3463.06
(635,630),5684.9
(635,631),2509.2
(636,90),8261.77
(636,570),4202.31
(636,571),2736.23
(636,575),1580.36
(636,633),2519.38
(636,643),2752.49
(637,91),1230.92
(637,639),1099.96
(637,641),1030.57
(637,706),2701.64
(637,814),570.082
(637,824),803.729
(637,825),334.338
(638,92),4488.75
(638,504),4561.86
(638,505),2107.61
(638,639),655.235
(638,640),776.327
(639,93),357.15
(639,634),1385.39
(639,637),390.542
(639,638),1688.83
(639,641),552.862
(640,94),2498.61
(640,638),2575.28
(640,641),1295.39
(640,645),1726.24
(640,647),490.913
(641,95),468.33
(641,637),1073.96
(641,639),1682.95
(641,640),1445.08
(641,648),692.393
(642,96),7196.6
(642,575),3361.59
(642,577),3485.34
(642,643),4538.91
(643,97),6973.45
(643,505),5141.78
(643,636),5089.42
(643,642),4034.2
(643,645),2594.4
(644,98),4583.23
(644,577),2781.08
(644,645),4497.01
(644,646),2670.84
(644,651),1894.57
(645,99),4107.96
(645,506),2250.61
(645,640),2851.65
(645,643),3974.66
(645,644),3376.95
(645,652),1410.91
(646,100),2787.21
(646,523),3789.17
(646,578),2666.99
(646,644),3047.68
(646,656),3455.02
(647,101),2676.83
(647,640),760.56
(647,648),1115.42
(647,649),960.695
(647,652),3096.78
(648,102),1692.02
(648,641),1896.48
(648,647),1021.36
(648,650),676.776
(648,824),877.971
(649,103),2159.55
(649,452),598.901
(649,647),1478.45
(649,650),1089.23
(649,654),1461.62
(650,104),868.62
(650,648),1400.02
(650,649),1095.82
(650,826),422.131
(650,841),440.488
(651,105),3338.87
(651,451),2421.96
(651,524),1871.53
(651,644),4113.56
(651,652),1943.99
(652,106),2602.56
(652,645),3456.73
(652,647),1937.85
(652,651),2761.88
(652,654),867.403
(653,107),3288.06
(653,450),1059.43
(653,451),4853.63
(653,658),2218.78
(653,661),2070.67
(654,108),2867.13
(654,450),2537.87
(654,649),976.903
(654,652),1543.78
(654,662),681.364
(655,109),4214.93
(655,578),2434.02
(655,656),2703.62
(655,657),2031.16
(655,659),2952.55
(656,110),5151.92
(656,524),2255.76
(656,646),4136.56
(656,655),2481.17
(656,658),1679.88
(657,111),3575.4
(657,509),3415.72
(657,655),1750.79
(657,658),703.309
(657,660),2425.65
(658,112),5118.23
(658,508),3758.78
(658,653),1844.39
(658,656),1786.15
(658,657),2.93675
(659,113),1529.23
(659,581),3217.47
(659,655),2863.38
(659,660),1117.22
(659,901),4284.63
(660,114),4279.3
(660,511),1604.58
(660,657),2416.49
(660,659),1118.83
(660,901),2082.41
(661,115),2162.47
(661,448),664.399
(661,653),3226.51
(661,663),1553.74
(661,666),838.234
(662,116),533.27
(662,448),1398.73
(662,654),1312.25
(662,664),148.573
(662,840),642.785
(663,117),3764.94
(663,447),1872.72
(663,661),2459.74
(663,668),3377.81
(663,848),624.572
(664,118),1072.54
(664,447),1645.81
(664,662),423.831
(664,842),724.217
(664,848),112.39
(665,119),1520.72
(665,509),753.632
(665,520),1555.1
(665,666),1245.59
(665,667),353.751
(666,120),3103.35
(666,508),1968.02
(666,661),911.291
(666,665),1496.72
(666,668),1412.82
(667,121),1856.23
(667,518),3354.47
(667,665),519.595
(667,668),2463.83
(667,849),597.324
(668,122),4567.93
(668,663),3341.83
(668,666),1883.88
(668,667),2370.01
(668,850),432.73
(669,123),1015.14
(669,511),242.45
(669,518),1072.03
(669,520),886.442
(669,853),21.0149
(669,901),647.404
(669,904),615.695
(670,124),1002.16
(670,601),1600.55
(670,671),1101.96
(670,672),3138.05
(670,675),2732.41
(671,125),205.69
(671,602),1236.04
(671,670),1925.69
(671,673),1389.7
(671,721),774.542
(672,126),1194.48
(672,670),2135.15
(672,673),1362.93
(672,677),4054.85
(672,682),2367.19
(673,127),1630.49
(673,671),973.264
(673,672),1607.09
(673,683),780.629
(673,723),982.766
(674,128),3856.69
(674,403),6220.5
(674,605),1678.35
(674,675),1874.89
(674,676),2466.57
(675,129),1881.33
(675,606),409.488
(675,670),556.271
(675,674),4481.15
(675,677),1955.8
(676,130),3640.97
(676,405),4387.65
(676,674),2923.91
(676,677),1570.44
(676,686),1655.83
(677,131),4008.23
(677,672),2357.46
(677,675),1088.3
(677,676),3060.75
(677,687),3427.81
(678,132),8660.26
(678,609),4862.6
(678,679),985.996
(678,680),3854.09
(679,133),5132.29
(679,403),2359.8
(679,487),2571.71
(679,610),4137.91
(679,678),3612.07
(680,134),7191.49
(680,486),2807.46
(680,622),4992.87
(680,678),4504.57
(680,690),5254.01
(681,135),8331.82
(681,405),2140.71
(681,486),3777.1
(681,487),2273.3
(681,691),2221.42
(682,136),1883.79
(682,672),1874.18
(682,683),912.547
(682,684),3429.41
(682,687),3070.9
(683,137),1328.56
(683,673),913.306
(683,682),1736.31
(683,727),1311.3
(684,138),1252.13
(684,410),2806.35
(684,682),3406.26
(684,685),1190.58
(684,689),2297.6
(685,139),1420.05
(685,684),1236.83
(685,729),695.203
(686,140),4271.85
(686,406),8486.03
(686,676),1153.45
(686,687),3056.57
(686,688),879.704
(687,141),6332.38
(687,677),2392.95
(687,682),1312.66
(687,686),5217.75
(687,689),1060.71
(688,142),3553.45
(688,407),2763.76
(688,686),1716.9
(688,689),1470.63
(688,698),1455.05
(689,143),1795.19
(689,409),2172.23
(689,684),806.257
(689,687),1655.04
(689,688),3121.63
(690,144),6322.93
(690,480),7059.23
(690,485),4837.26
(690,680),7475.53
(690,691),3875.32
(691,145),5256.9
(691,406),2976.49
(691,681),3405.84
(691,690),7429.38
(691,693),2695.25
(692,146),14124.5
(692,478),2454.64
(692,482),6336.96
(692,693),2231.62
(692,702),1148.41
(693,147),12195.8
(693,407),1825.4
(693,538),2060.81
(693,691),1782.75
(693,692),4373.51
(694,148),5243.01
(694,410),4799.72
(694,695),1096.64
(694,696),1140.56
(694,699),1510.47
(695,149),1294.27
(695,694),2444.86
(695,697),1525.25
(695,733),706.19
(696,150),1757.37
(696,694),2597.68
(696,697),1861.68
(696,701),2359.41
(696,808),1145.78
(697,151),2694.53
(697,695),1968.95
(697,696),2307.59
(697,735),1652.41
(697,809),131.797
(698,152),5519.35
(698,537),8299.59
(698,688),1516.79
(698,699),3288.25
(698,700),1747.15
(699,153),7374.85
(699,409),3302.45
(699,694),935.328
(699,698),3118.15
(699,701),564.546
(700,154),2368.18
(700,473),2034.57
(700,698),5323.94
(700,701),1979.77
(700,812),493.942
(701,155),2397.03
(701,696),2316.71
(701,699),2165.55
(701,700),3104.12
(701,813),603.769
(702,156),6184.31
(702,477),4906.66
(702,692),2470.13
(702,703),2802.7
(702,704),1430.48
(703,157),5014.39
(703,537),2626.3
(703,538),4834.79
(703,702),4359.46
(703,705),742.049
(704,158),5064.4
(704,475),677.019
(704,634),4004.85
(704,702),2785.22
(704,705),2468.39
(705,159),3016.66
(705,473),3661.15
(705,474),737.034
(705,703),2649.08
(705,704),3691.58
(706,160),2185.88
(706,472),561.614
(706,474),1248.66
(706,475),1998.83
(706,637),834.63
(707,161),470.53
(707,387),147.56
(707,708),415.297
(707,713),98.3321
(707,912),177.599
(708,162),263.06
(708,390),1543.16
(708,707),240.737
(708,710),248.215
(708,712),360.734
(708,802),334.965
(709,163),1458.17
(709,583),1458.29
(709,711),2344.25
(709,805),1527.92
(710,164),244.89
(710,708),317.021
(710,712),1416.59
(710,806),1018.37
(711,165),3517.32
(711,392),2610.03
(711,583),1011.4
(711,709),811.101
(711,712),443.944
(712,166),1205.57
(712,391),1299.24
(712,708),49.3899
(712,710),720.699
(712,711),852.846
(712,715),411.164
(713,167),166.32
(713,707),52.8898
(713,714),336.77
(713,719),58.5666
(713,912),149.286
(714,168),224.32
(714,390),272.501
(714,713),144.856
(714,716),641.606
(714,718),144.621
(714,720),763.945
(715,169),5208.63
(715,392),3755.03
(715,600),974.934
(715,712),0
(715,716),477.308
(715,717),2169.48
(716,170),762.83
(716,391),700.448
(716,714),223.879
(716,715),1091.3
(716,718),798.807
(717,171),2923.35
(717,602),1072.89
(717,715),1962.91
(717,718),507.589
(717,721),1987.26
(718,172),422.23
(718,714),45.8357
(718,716),697.004
(718,717),787.068
(718,722),894.932
(719,173),204.97
(719,713),31.92
(719,720),606.993
(719,725),136.206
(719,912),259.54
(720,174),522.82
(720,714),513.587
(720,719),248.399
(720,722),378.817
(720,724),1042.8
(720,726),634.916
(721,175),484.1
(721,671),1225.95
(721,717),1553.97
(721,722),204.811
(721,723),1227.81
(722,176),218.14
(722,718),790.941
(722,720),164.819
(722,721),203.904
(722,724),1042.9
(723,177),3374.67
(723,673),1444.15
(723,721),922.308
(723,724),696.872
(723,727),2292.34
(724,178),1894.04
(724,720),222.994
(724,722),521.415
(724,723),1820.49
(724,728),771.946
(725,179),202.88
(725,415),261.608
(725,719),110.964
(725,726),402
(725,912),203.081
(726,180),557.19
(726,414),353.863
(726,720),343.898
(726,725),140.254
(726,728),512.537
(726,730),568.836
(727,181),2480.96
(727,683),2129.72
(727,723),2133.24
(727,728),483.747
(727,729),2163.31
(728,182),947.08
(728,724),692.444
(728,726),179.091
(728,727),1105.42
(728,730),980.424
(729,183),1285.91
(729,412),2388.25
(729,685),1064.27
(729,727),2404.9
(729,730),124.423
(730,184),826.72
(730,413),1631.72
(730,726),226.841
(730,728),935.411
(730,729),278.159
(731,185),352.86
(731,415),135.594
(731,416),206.49
(731,732),228.559
(731,863),200.802
(732,186),672.46
(732,414),585.555
(732,731),111.191
(732,734),788.842
(732,736),1251.06
(732,864),388.996
(733,187),3358.48
(733,412),3142.17
(733,695),1437.48
(733,734),1049.14
(733,735),1612.08
(734,188),3444.78
(734,413),3153.2
(734,732),352.624
(734,733),1310
(734,736),2001.41
(735,189),3635.99
(735,697),2664.26
(735,733),2550.55
(735,736),1315.46
(735,865),979.617
(736,190),4862.57
(736,732),516.045
(736,734),1978.15
(736,735),1287.65
(736,865),1624.79
(737,191),555.76
(737,739),760.374
(737,741),400.67
(737,745),674.361
(737,783),807.027
(737,919),93.91
(738,192),73.06
(738,418),775.333
(738,739),709.904
(738,740),429.52
(738,920),321.507
(739,193),1210.77
(739,737),446.066
(739,738),1314.69
(739,741),429.434
(739,919),178.89
(740,194),414.07
(740,738),139.41
(740,741),470.907
(740,742),404.455
(740,746),1143.29
(741,195),603.43
(741,737),182.44
(741,739),243.366
(741,740),459.319
(741,747),1290.31
(742,196),517.34
(742,418),323.875
(742,740),523.211
(742,743),348.21
(742,744),225.178
(742,750),1006.08
(742,751),696.287
(742,920),91.0305
(742,921),576.96
(743,197),1574.52
(743,742),646.878
(743,744),2525.7
(743,921),1586.41
(744,198),1844.75
(744,742),321.118
(744,743),1368.2
(744,754),3775.32
(745,199),1625.29
(745,737),131.93
(745,747),897.329
(745,749),1078.41
(745,756),2222.53
(745,791),990.452
(746,200),718.57
(746,740),261.181
(746,747),720.019
(746,748),1369.8
(746,751),1477.69
(747,201),926.18
(747,741),751.239
(747,745),1305.62
(747,746),1369.34
(747,749),380.903
(748,202),1205.6
(748,746),336.145
(748,749),583.598
(748,753),1696.31
(748,757),2761.76
(749,203),1150.86
(749,745),545.178
(749,747),162.091
(749,748),1395.31
(749,758),1087.33
(750,204),2325.47
(750,419),692.517
(750,742),188.72
(750,752),2554.32
(750,754),1082.45
(751,205),362.05
(751,419),2366.54
(751,742),232.375
(751,746),579.223
(751,753),1663.75
(752,206),2413.04
(752,420),2011.77
(752,750),770.675
(752,755),2444.59
(752,761),3607.93
(753,207),734.23
(753,420),1810.36
(753,748),1722.29
(753,751),811.927
(753,762),1177.99
(754,208),3175.81
(754,744),1565.91
(754,750),1807.67
(754,755),4702.87
(755,209),6372.97
(755,752),2781.09
(755,754),1932.89
(755,765),4660.7
(756,210),1711.12
(756,745),625.079
(756,758),730.206
(756,760),2722.66
(756,767),1507.47
(756,799),1385.65
(757,211),447.06
(757,748),551.228
(757,758),558.944
(757,759),1849.92
(757,762),1636.97
(758,212),77.19
(758,749),323.693
(758,756),842.98
(758,757),599.315
(758,760),808.916
(759,213),814.89
(759,757),722.146
(759,760),724.53
(759,764),3072.53
(759,768),1379.88
(760,214),97.78
(760,756),695.753
(760,758),149.094
(760,759),2015.31
(760,769),2014.12
(761,215),2824.14
(761,421),1406.64
(761,752),1594.84
(761,762),1938.67
(761,763),748.458
(762,216),1430.46
(762,753),378.535
(762,757),458.779
(762,761),1854.37
(762,764),3269.72
(763,217),1993
(763,422),1871.04
(763,761),430.712
(763,764),346.821
(763,772),1940.04
(764,218),3930.44
(764,759),564.67
(764,762),891.337
(764,763),1877.73
(764,773),4994.23
(765,219),2946.76
(765,421),1297.02
(765,755),2479.07
(765,766),5155.18
(766,220),2356.14
(766,422),703.531
(766,765),1745.64
(766,776),5621.81
(767,221),2652.57
(767,583),1617.56
(767,756),509.815
(767,769),741.55
(767,771),2063.11
(767,807),1420.1
(768,222),739.05
(768,759),852.524
(768,769),608.533
(768,770),1477.7
(768,773),496.304
(769,223),1264.06
(769,760),509.575
(769,767),315.983
(769,768),977.286
(769,771),2662.45
(770,224),1102.18
(770,584),3428.03
(770,768),444.136
(770,771),1067.18
(770,775),2366.93
(771,225),1656.14
(771,585),3108.41
(771,767),907.818
(771,769),938.084
(771,770),3032.71
(772,226),1283.17
(772,423),1500.71
(772,763),622.381
(772,773),1445.01
(772,774),2770.2
(773,227),1967.16
(773,764),1523.65
(773,768),515.492
(773,772),2472.86
(773,775),3637.54
(774,228),2806.66
(774,424),2418.73
(774,588),2153.96
(774,772),1079.63
(774,775),2114.26
(775,229),2347.23
(775,589),5413.6
(775,770),941.776
(775,773),958.485
(775,774),2794.56
(776,230),2627.28
(776,423),712.8
(776,766),1908.33
(776,777),3965.88
(776,778),3622.57
(777,231),3500.52
(777,428),5186.13
(777,596),0
(777,776),1590.5
(777,778),618.482
(778,232),4571.12
(778,424),1412.22
(778,426),4919.29
(778,776),1320.19
(778,777),518.624
(779,233),598.58
(779,780),463.703
(779,784),281.98
(779,913),554.196
(779,915),123.14
(780,234),113.28
(780,779),439.771
(780,781),253.332
(780,785),425.901
(780,916),78.58
(781,235),367.92
(781,780),160.1
(781,782),478.364
(781,786),467.93
(781,916),132.78
(781,917),17.38
(782,236),995.83
(782,781),260.127
(782,783),497.294
(782,787),787.756
(782,788),663.527
(782,917),49.5
(782,918),201.779
(783,237),153.29
(783,737),1024.71
(783,782),504.466
(783,791),284.659
(783,918),156.251
(784,238),539.26
(784,779),94.2732
(784,785),200.767
(784,792),356.558
(784,913),304.426
(785,239),188.09
(785,780),199.531
(785,784),351.369
(785,786),272.574
(785,793),511.509
(786,240),652.93
(786,781),135.483
(786,785),298.842
(786,788),224.544
(786,790),338.152
(786,794),1058
(787,241),268.8
(787,782),368.177
(787,788),114.736
(787,789),592.728
(787,791),640.757
(788,242),330.82
(788,782),423.841
(788,786),288.801
(788,787),274.754
(788,790),645.361
(789,243),1887.17
(789,787),306.147
(789,790),324.518
(789,791),663.664
(789,795),1879
(790,244),689.87
(790,786),246.288
(790,788),343.34
(790,789),302.408
(790,796),1167.03
(791,245),496.44
(791,745),1214
(791,783),126.437
(791,787),250.981
(791,789),1297.63
(791,799),408.348
(792,246),1030.86
(792,784),154.49
(792,793),583.751
(792,800),374.689
(792,913),627.274
(793,247),174.64
(793,785),258.242
(793,792),543.688
(793,794),826.763
(793,801),273.39
(794,248),2781.89
(794,786),222.003
(794,793),555.253
(794,796),437.56
(794,798),1580.24
(794,802),1067.41
(795,249),885.77
(795,789),953.137
(795,796),849.572
(795,797),719.877
(795,799),716.774
(796,250),150.86
(796,790),532.941
(796,794),724.278
(796,795),827.807
(796,798),1077.15
(797,251),510.78
(797,795),303.868
(797,798),918.687
(797,799),983.113
(797,803),1133.33
(798,252),1296.67
(798,794),1047.52
(798,796),574.657
(798,797),893.419
(798,804),3177.88
(799,253),536.26
(799,756),2308.82
(799,791),15.8595
(799,795),499.999
(799,797),1049.46
(799,807),14.6138
(800,254),169.62
(800,388),137.74
(800,792),239.476
(800,801),449.015
(800,912),128.434
(801,255),354.32
(801,387),761.204
(801,793),48.2196
(801,800),230.572
(801,802),351.245
(802,256),1176.61
(802,708),1164.12
(802,794),558.816
(802,801),259.984
(802,804),552.968
(802,806),276.122
(803,257),1587.28
(803,797),525.598
(803,804),1497.89
(803,805),1443.7
(803,807),2372.06
(804,258),2817.7
(804,798),2001.93
(804,802),417.981
(804,803),2715.46
(804,806),1310.71
(805,259),932.79
(805,709),2697.18
(805,803),1010.39
(805,806),288.003
(805,807),1032.61
(806,260),813.63
(806,710),1566.18
(806,802),307.72
(806,804),983.267
(806,805),502.062
(807,261),757.19
(807,583),592.549
(807,767),3167.71
(807,799),0
(807,803),845.7
(807,805),934.477
(808,262),360.57
(808,696),2238.73
(808,809),397.699
(808,810),418.228
(808,813),1344.7
(809,263),252.88
(809,697),242.686
(809,808),675.402
(809,811),92.0224
(809,865),350.263
(810,264),133.04
(810,808),804.865
(810,811),386.773
(810,815),387.571
(810,816),411.067
(811,265),117.58
(811,809),165.273
(811,810),477.463
(811,817),188.542
(811,865),405.931
(812,266),1845.39
(812,471),1435.71
(812,472),1681.6
(812,700),1828.5
(812,813),1226.86
(813,267),906.64
(813,701),1335.75
(813,808),1181.53
(813,812),2175.84
(813,815),458.079
(814,268),1216.65
(814,470),288.666
(814,471),3135.51
(814,637),1092.21
(814,820),945.938
(815,269),714.89
(815,470),2081.63
(815,810),303.812
(815,813),909.133
(815,821),758.736
(816,270),351.21
(816,469),713.382
(816,810),796.134
(816,817),365.428
(816,818),394.985
(817,271),581.38
(817,811),266.851
(817,816),423.849
(817,819),22.5032
(817,868),44.3259
(818,272),1218.88
(818,468),1550.92
(818,816),986.509
(818,819),427.391
(818,828),1112.34
(819,273),64.88
(819,817),77.43
(819,818),476.566
(819,829),54.63
(819,868),444.642
(820,274),1063.45
(820,814),2378.06
(820,821),418.82
(820,822),1121.89
(820,825),341.299
(821,275),317.03
(821,469),253.557
(821,815),1698.12
(821,820),431.658
(821,823),620.843
(822,276),1110.35
(822,820),2218.35
(822,823),995.693
(822,827),1062.18
(822,832),1211.85
(823,277),998.48
(823,468),477.279
(823,821),1358.93
(823,822),1049.96
(823,833),1265.38
(824,278),584.34
(824,637),1466.32
(824,648),1213.63
(824,825),486.04
(824,826),234.424
(825,279),258.9
(825,637),1167.08
(825,820),392.263
(825,824),455.393
(825,827),552.701
(826,280),165.08
(826,650),576.403
(826,824),489.987
(826,827),569.152
(826,836),348.457
(827,281),73.88
(827,822),1178.57
(827,825),987.269
(827,826),301.819
(827,837),382.795
(828,282),1505.13
(828,456),530.101
(828,467),283.603
(828,818),1665.01
(828,833),1150.95
(829,283),339.98
(829,467),443.111
(829,819),95.481
(829,831),51.5362
(829,871),30.4783
(830,284),827.09
(830,456),1157.61
(830,835),658.988
(830,844),323.147
(831,285),202.57
(831,458),316.95
(831,829),76.0264
(831,871),54.2917
(832,286),3088.23
(832,454),938.547
(832,822),1805.65
(832,833),1204.63
(832,837),457.567
(833,287),5003.67
(833,455),1995.24
(833,823),1850.33
(833,828),1073.52
(833,832),1086.89
(834,288),1098.44
(834,454),772.67
(834,835),438.473
(834,839),272.732
(834,845),73.4795
(835,289),1482.02
(835,455),679.477
(835,830),482.191
(835,834),339.618
(835,845),99.8915
(836,290),448.42
(836,826),831.906
(836,837),670.061
(836,838),55.5635
(836,841),829.122
(837,291),485.37
(837,453),422.426
(837,827),539.551
(837,832),647.513
(837,836),682.884
(838,292),370.47
(838,836),99.7997
(838,839),639.864
(838,843),669.299
(838,846),58.5144
(839,293),505.41
(839,453),1061.43
(839,834),475.975
(839,838),456.405
(839,846),125.785
(840,294),670.63
(840,452),769.987
(840,662),745.371
(840,841),1030.78
(840,842),288.545
(841,295),780.31
(841,650),901.038
(841,836),887.902
(841,840),1149.88
(841,843),471.155
(842,296),640.72
(842,664),1128.15
(842,840),302.333
(842,843),428.012
(842,847),44.9491
(843,297),473.65
(843,838),588.804
(843,841),639.639
(843,842),529.607
(843,847),195.912
(844,298),813.24
(844,458),18.0364
(844,466),313.301
(844,830),443.633
(844,845),60.9983
(844,874),237.811
(845,299),223.02
(845,834),187.305
(845,835),248.065
(845,844),80.1196
(845,846),73.6189
(845,855),70.7317
(846,300),268.43
(846,838),113.374
(846,839),304.703
(846,845),72.5203
(846,847),159.073
(846,856),54.8621
(847,301),104.4
(847,446),355.489
(847,842),87.5221
(847,843),355.495
(847,846),96.7132
(847,857),115.958
(848,302),1473.51
(848,446),812.35
(848,663),834.069
(848,664),284.969
(848,850),94.8268
(848,852),212.761
(848,858),57.8075
(849,303),333.09
(849,667),1547.83
(849,850),267.068
(849,851),123.17
(849,853),417.146
(850,304),737.8
(850,668),1060
(850,848),131.31
(850,849),432.585
(850,852),124.785
(851,305),89.16
(851,849),290.533
(851,852),205.773
(851,853),234.908
(851,859),102.7
(852,306),147.41
(852,848),459.502
(852,850),313.466
(852,851),223.691
(852,859),162.283
(853,307),125.16
(853,669),33.8837
(853,849),712.435
(853,851),161.433
(853,860),2.63998
(853,904),492.728
(853,906),272.326
(854,308),797.91
(854,465),182.759
(854,466),569.982
(854,855),168.409
(854,877),190.08
(855,309),32.36
(855,845),167.331
(855,854),160.476
(855,856),119.17
(855,862),84.2217
(856,310),41.71
(856,846),100.811
(856,855),66.9817
(856,857),143.732
(856,884),77.4418
(857,311),341.75
(857,445),458.753
(857,847),207.176
(857,856),61.1523
(857,885),103.523
(858,312),121.49
(858,445),82.02
(858,848),224.226
(858,859),68.022
(858,886),15.9999
(859,313),330.08
(859,851),202.321
(859,852),423.263
(859,858),60.7224
(859,860),156.065
(859,887),46.1801
(860,314),33.66
(860,853),11.982
(860,859),158.781
(860,887),25.8797
(860,906),218.769
(860,909),56.8309
(861,315),485.94
(861,464),238.5
(861,465),619.043
(861,862),210.624
(861,888),93.7714
(862,316),62.88
(862,855),155.476
(862,861),166.572
(862,884),193.48
(862,889),158.709
(863,317),685.67
(863,731),230.503
(863,864),804.088
(863,866),134.541
(863,912),0
(864,318),618.31
(864,732),972.372
(864,863),427.998
(864,865),682.261
(864,867),131.331
(865,319),2478.31
(865,735),1658.01
(865,736),1887.11
(865,809),575.363
(865,811),472.822
(865,864),466.164
(865,867),320.201
(865,868),525.027
(866,320),219.78
(866,863),219.712
(866,867),357.367
(866,869),72.9214
(867,321),417.81
(867,864),179.805
(867,865),611.79
(867,866),203.23
(867,868),163.751
(867,870),156.938
(868,322),54.07
(868,817),128.18
(868,819),374.673
(868,865),835.524
(868,867),106.788
(868,871),245.336
(869,323),82.38
(869,866),140.199
(869,870),135.782
(870,324),46.93
(870,867),253.678
(870,869),83.0296
(870,871),86.8041
(870,873),251.676
(871,325),50.32
(871,459),238.069
(871,829),101.657
(871,831),68.6035
(871,868),416.435
(871,870),40.8
(872,326),28.83
(872,461),33.58
(872,873),28.1
(873,327),819.67
(873,460),462.428
(873,870),284.317
(873,872),15.46
(873,874),129.588
(874,328),499.18
(874,459),865.258
(874,844),177.416
(874,873),248.137
(874,877),237.429
(875,329),649.54
(875,461),139.44
(875,876),129.92
(875,878),20.2483
(876,330),1031.31
(876,460),896.969
(876,875),437.61
(876,877),275.34
(876,879),72.22
(877,331),586.03
(877,854),161.5
(877,874),518.874
(877,876),404.054
(877,880),205.419
(878,332),31.76
(878,875),80.64
(878,879),26.11
(878,881),11.0283
(879,333),73.46
(879,876),280.694
(879,878),18.26
(879,880),44.0813
(879,882),34.32
(880,334),448.82
(880,464),520.077
(880,877),279.769
(880,879),85.5057
(880,883),102.53
(881,335),26.39
(881,878),29.82
(881,882),27.43
(882,336),37.6
(882,463),70.16
(882,879),90.86
(882,881),15.3617
(883,337),143.54
(883,463),61.8499
(883,880),259.06
(883,888),22.0494
(884,338),51.13
(884,444),95.393
(884,856),89.7424
(884,862),142.19
(884,891),226.489
(885,339),282.26
(885,444),641.366
(885,857),151.19
(885,886),90.6207
(885,891),627.196
(886,340),30.77
(886,858),102.188
(886,885),259.567
(886,887),68.2924
(886,892),52.0624
(887,341),137.61
(887,859),227.975
(887,860),81.5725
(887,886),107.424
(887,893),36.6159
(887,909),72.29
(888,342),75.4
(888,861),175.826
(888,883),22.2399
(888,894),62.4908
(889,343),51.09
(889,862),118.231
(889,890),243.077
(889,895),10.16
(890,344),233.34
(890,889),105.539
(890,895),39.6599
(890,896),886.018
(890,898),58.9396
(891,345),2215.79
(891,884),154.736
(891,885),564.334
(891,896),1663.1
(892,346),149.59
(892,886),208.576
(892,893),225.553
(892,897),279.205
(892,900),32.6097
(893,347),137.13
(893,887),158.655
(893,892),213.275
(893,909),255.808
(894,348),66.26
(894,888),85.4155
(894,895),101.335
(895,349),79.35
(895,889),14.8005
(895,890),229.779
(895,894),43.3199
(895,898),29.6639
(896,350),3432.89
(896,442),527.231
(896,890),225.321
(896,891),1394.23
(896,898),55.0104
(897,351),382.59
(897,441),132.674
(897,442),822.675
(897,892),203.346
(897,899),96.7903
(898,352),130.69
(898,441),109.202
(898,890),66.2287
(898,895),25.6486
(898,896),239.011
(899,353),92.06
(899,897),319.23
(899,900),53.5103
(900,354),86.12
(900,892),90.63
(900,899),123.54
(901,355),17118.2
(901,512),2069.73
(901,540),2011.46
(901,541),3396.18
(901,659),4358.21
(901,660),1818.54
(901,669),568.991
(902,356),9556.23
(902,513),1937.05
(902,515),1963.16
(902,541),6730.47
(902,542),894.345
(902,543),1290.11
(903,357),3134.09
(903,543),2899.37
(903,905),1212.98
(904,358),3846.22
(904,512),2733.58
(904,513),1049.98
(904,669),717.26
(904,853),251.77
(904,905),1193.74
(904,906),457.637
(905,359),5174.67
(905,515),2232.92
(905,903),1144.05
(905,904),907.301
(905,907),802.726
(905,908),55
(905,930),104
(906,360),434.76
(906,853),529.504
(906,860),76.0697
(906,904),1010.02
(906,907),739.246
(906,909),94.7091
(907,361),2077.72
(907,516),684.659
(907,905),1567.69
(907,906),665.379
(907,910),221.907
(907,911),0
(908,362),197.42
(908,516),342.12
(908,905),210.3
(908,911),5.1
(909,363),217
(909,860),103.595
(909,887),80.78
(909,893),129.169
(909,906),318.725
(909,910),460.289
(910,364),582.86
(910,517),261.49
(910,907),577.688
(910,909),317.749
(911,365),74.07
(911,517),181.01
(911,907),0
(911,908),6.49
(912,366),1397.63
(912,416),1258.13
(912,707),154.869
(912,713),224.685
(912,719),490.36
(912,725),370.857
(912,800),90.1341
(912,863),0
(913,367),1800.02
(913,388),324.859
(913,779),158.066
(913,784),171.115
(913,792),577.092
(913,914),14.63
(914,368),127.48
(914,913),112.481
(914,915),197.189
(915,369),223.56
(915,779),382.839
(915,914),112.85
(915,916),341.46
(916,370),232.21
(916,780),245.431
(916,781),499.519
(916,915),133.71
(916,917),122.971
(917,371),228.82
(917,781),103.253
(917,782),278.406
(917,916),94.5301
(917,918),240.372
(918,372),580.45
(918,782),584.089
(918,783),390.396
(918,917),118.35
(918,919),654.876
(918,923),148
(919,373),554.02
(919,737),260.89
(919,739),575.974
